競馬場,競走年月日,レース番号,レース名,単勝組番,単勝払戻金（円）,単勝人気,複勝組番1,複勝払戻金1（円）,複勝人気1,複勝組番2,複勝払戻金2（円）,複勝人気2,複勝組番3,複勝払戻金3（円）,複勝人気3,枠複組番1,枠複組番2,枠複払戻金（円）,枠複人気,枠単組番1,枠単組番2,枠単払戻金（円）,枠単人気,馬複組番1,馬複組番2,馬複払戻金（円）,馬複人気1,馬単組番1,馬単組番2,馬単払戻金（円）,馬単人気1,ワイド組番1馬番1,ワイド組番1馬番2,ワイド払戻金1（円）,ワイド人気1,ワイド組番2馬番1,ワイド組番2馬番2,ワイド払戻金2（円）,ワイド人気2,ワイド組番3馬番1,ワイド組番3馬番2,ワイド払戻金3（円）,ワイド人気3,３連複組番馬番1,３連複組番馬番2,３連複組番馬番3,３連複払戻金（円）,３連複人気,３連単組番馬番1,３連単組番馬番2,３連単組番馬番3,３連単払戻金（円）,３連単人気
盛岡,20260825,1,Ｃ２三組,2,910,3,2,150,3,8,130,2,7,120,1,2,8,800,3,,,,,2,8,900,4,2,8,2040,7,2,8,260,3,2,7,260,4,7,8,170,1,2,7,8,470,1,2,8,7,4960,12
笠松,20260825,1,Ｃ１２組,2,440,2,2,100,2,8,100,3,3,100,1,,,,,,,,,2,8,1250,3,2,8,3340,7,2,8,220,4,2,3,100,1,3,8,120,2,2,3,8,220,1,2,8,3,4660,15
