競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
門別,20260825,2,1450,普通,２歳　未勝利,,,,,,,,,,,,,,,,ダート,右,1000,雨,重,12,"サラブレッド系　２歳 定量",500000,140000,105000,70000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,3,1520,普通,２歳牝馬　未勝利,公益社団法人日本軽種馬協会会長賞,,,,,,,,,,,,,,,ダート,右,1100,雨,重,12,"サラブレッド系　２歳 定量",500000,140000,105000,70000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,4,1555,普通,２歳　未勝利,,,,,,,,,,,,,,,,ダート,右,1100,雨,重,10,"サラブレッド系　２歳 定量",500000,140000,105000,70000,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,5,1630,普通,３歳以上　Ｃ４－３,,,,,,,,,,,,,,,,ダート,右,1200,雨,重,11,"サラブレッド系　一般 定量",400000,112000,84000,56000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,6,1705,普通,３歳以上　Ｃ４－２,,,,,,,,,,,,,,,,ダート,右,1000,雨,重,12,"サラブレッド系　一般 定量",400000,112000,84000,56000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,7,1740,特別,ネジバナ特別Ｃ４－２,,,,,,,,,,,,,,,,ダート,右,1500,雨,重,9,"サラブレッド系　一般 定量",550000,154000,116000,77000,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,8,1815,特別,オニユリ特別Ｃ４－２,,,,,,,,,,,,,,,,ダート,右,1800,雨,重,8,"サラブレッド系　一般 定量",550000,154000,116000,77000,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,9,1850,普通,アルーダ日高西部賞Ｃ４－２,株式会社日高西部農協機械センター賞,,,,,,,,,,,,,,,ダート,右,1000,雨,重,12,"サラブレッド系　一般 定量",400000,112000,84000,56000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,10,1925,特別,グランシャリオドリーム５０Ｃ４－２,,,,,,,,,,,,,,,,ダート,右,1700,雨,重,11,"サラブレッド系　一般 定量",550000,154000,116000,77000,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,11,2000,特別,ベゴニア特別Ａ３～Ｂ２,,,,,,,,,,,,,,,,ダート,右,1000,雨,重,8,"サラブレッド系　一般 別定",900000,252000,189000,126000,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
門別,20260825,12,2040,特別,ダリア特別Ａ３～Ｂ２,,,,,,,,,,,,,,,,ダート,右,1200,雨,重,11,"サラブレッド系　一般 別定",900000,252000,189000,126000,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
